iter	Passed	Remaining
0	0	73
1	1	63
2	1	59
3	2	55
4	2	53
5	3	51
6	3	51
7	4	50
8	4	50
9	5	49
10	6	49
11	6	49
12	7	48
13	7	46
14	8	45
15	8	44
16	8	43
17	9	42
18	9	41
19	10	41
20	10	40
21	11	40
22	11	39
23	12	38
24	12	38
25	13	38
26	14	38
27	14	37
28	15	37
29	15	37
30	16	37
31	17	36
32	17	36
33	18	35
34	19	35
35	19	35
36	20	34
37	20	34
38	21	33
39	21	32
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	29
46	25	28
47	26	28
48	26	27
49	27	27
50	28	26
51	28	26
52	29	26
53	30	25
54	30	25
55	31	24
56	32	24
57	32	23
58	33	23
59	33	22
60	34	22
61	35	21
62	35	21
63	36	20
64	37	19
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	43	13
76	43	13
77	44	12
78	45	12
79	46	11
80	46	10
81	47	10
82	48	9
83	48	9
84	49	8
85	49	8
86	50	7
87	51	7
88	52	6
89	52	5
90	53	5
91	53	4
92	54	4
93	54	3
94	55	2
95	55	2
96	56	1
97	56	1
98	57	0
99	58	0
